gradient_step,model_reward_mean,model_reward_min,model_state_abs_max,policy_loss,value_loss,behavior_kl,entropy,approx_old_policy_kl,clip_fraction,actor_grad_norm,value_grad_norm
1900,-222.73233032226562,-327.0099792480469,201.0050506591797,0.2894684374332428,512297.1875,801919652069376.0,-8.333086013793945,84020851376128.0,1.0,0.0,14377.01171875
2000,-227.6531524658203,-332.7373352050781,201.27757263183594,0.37580835819244385,638227.875,1653800645427200.0,-8.332969665527344,141315664773120.0,1.0,0.0,15960.5634765625
2100,-223.504638671875,-325.4830017089844,198.36514282226562,0.3550143241882324,603056.125,1608390493077504.0,-8.343689918518066,131893452800.0,1.0,0.0,15543.6162109375
2200,-280.6590270996094,-357.1581726074219,198.75633239746094,0.2920898199081421,891433.75,837026848964608.0,-8.34369945526123,139879476363264.0,1.0,0.0,19203.740234375
2300,-280.29473876953125,-345.11187744140625,199.94781494140625,0.3352964222431183,973296.5625,1633526386524160.0,-8.34369945526123,127621211881472.0,1.0,0.0,20112.9921875
2400,-280.9144592285156,-349.2354736328125,197.6160125732422,0.32936906814575195,966771.0625,2867135483215872.0,-8.34369945526123,186586062913536.0,1.0,0.0,20178.732421875
2500,-280.6960754394531,-346.6178894042969,199.4562530517578,0.32845446467399597,963933.125,4967379859668992.0,-8.34369945526123,271126924099584.0,1.0,0.0,20090.587890625
2600,-280.1819763183594,-339.31182861328125,185.6259765625,0.3791009783744812,1041049.0625,8104431488860160.0,-8.343698501586914,375350982868992.0,1.0,0.0,20956.8515625
2700,-280.9223327636719,-358.7447814941406,203.41107177734375,0.33828282356262207,979916.25,7880563834748928.0,-8.35078239440918,3037933338624.0,1.0,0.0,20205.751953125
2800,-222.01443481445312,-329.0808410644531,196.40762329101562,0.3587888777256012,593882.375,7597148069691392.0,-8.352738380432129,1642146037760.0,1.0,0.0,15579.0322265625
2900,-281.6501770019531,-347.2879638671875,199.94781494140625,0.33062389492988586,977001.375,8046260988674048.0,-8.357379913330078,1143641866240.0,1.0,0.0,20317.046875
3000,-280.2437744140625,-343.887939453125,196.40762329101562,0.36966443061828613,1025307.375,7403923396624384.0,-8.344099044799805,9090794258432.0,1.0,0.0,20789.91015625
3100,-280.4574890136719,-350.29736328125,198.17298889160156,0.329059898853302,959829.625,7631812213866496.0,-8.34958267211914,1636304683008.0,1.0,0.0,20022.1015625
3200,-280.1972351074219,-338.73291015625,202.74070739746094,0.35749948024749756,1019731.3125,6973356146425856.0,-8.348516464233398,16689204822016.0,1.0,0.0,20893.083984375
3300,-301.9142761230469,-358.49658203125,196.84120178222656,0.3434077203273773,1106616.5,7199472215916544.0,-8.348844528198242,4669271179264.0,1.0,0.0,21592.3203125
3400,-301.779541015625,-358.0851745605469,202.6076202392578,0.3741317093372345,1243812.0,6589454789640192.0,-8.349787712097168,12800042729472.0,1.0,0.0,23201.025390625
3500,-280.0595703125,-347.6874694824219,195.147216796875,0.339609831571579,959738.375,6955979245617152.0,-8.348448753356934,1818880376832.0,1.0,0.0,19960.193359375
3600,-302.32647705078125,-357.1044921875,204.75669860839844,0.33363062143325806,1132810.0,6483790004224000.0,-8.346954345703125,6828529811456.0,1.0,0.0,21758.966796875
3700,-280.4239807128906,-357.10546875,199.10267639160156,0.37411192059516907,1035221.4375,7242165264580608.0,-8.350868225097656,17235880968192.0,1.0,0.0,21038.087890625
3800,-280.5964050292969,-338.54974365234375,201.97622680664062,0.3360119163990021,977627.9375,8177113072926720.0,-8.349777221679688,27358721474560.0,1.0,0.0,20403.33203125
3900,-280.9411315917969,-357.78875732421875,199.31375122070312,0.3372047543525696,982507.0,9731087001452544.0,-8.346319198608398,72197192286208.0,1.0,0.0,20403.732421875
4000,-281.2452697753906,-355.0168762207031,202.1603240966797,0.3373256325721741,970781.9375,8610639555592192.0,-8.345722198486328,38991105622016.0,1.0,0.0,20073.87890625
4100,-281.31744384765625,-362.5726318359375,208.72103881835938,0.3227183222770691,958449.875,7383067035435008.0,-8.345708847045898,45234905939968.0,1.0,0.0,20087.39453125
4200,-280.4944763183594,-356.22723388671875,202.6076202392578,0.35986053943634033,1014942.8125,8214749334470656.0,-8.34638786315918,22172856745984.0,1.0,0.0,20748.93359375
4300,-280.7708435058594,-350.87799072265625,200.53477478027344,0.3734227418899536,1037602.5625,1.0326049493614592e+16,-8.346541404724121,123987417890816.0,1.0,0.0,21067.150390625
4400,-280.130126953125,-349.0584716796875,200.53477478027344,0.3291316330432892,947753.4375,1.1622700120276992e+16,-8.346390724182129,43277415874560.0,1.0,0.0,19933.392578125
4500,-280.773681640625,-357.43212890625,197.9803466796875,0.33390507102012634,970589.3125,1.37232795041792e+16,-8.34603500366211,65698286010368.0,1.0,0.0,20274.505859375
4600,-280.7624816894531,-353.8929443359375,203.34957885742188,0.3039957284927368,892538.75,3275346891767808.0,-7.371042251586914,37909914714112.0,1.0,0.0,18992.15625
4700,-280.6927185058594,-352.9727783203125,196.84774780273438,0.35302919149398804,997497.625,759374592.0,0.8152815103530884,43868712.0,1.0,0.0,20486.12109375
4800,-280.78985595703125,-350.493896484375,186.90399169921875,0.3943898677825928,1094250.625,1127834880.0,0.8142956495285034,43080416.0,1.0,0.0,21893.6796875
4900,-281.5636291503906,-354.34259033203125,198.75633239746094,0.32894840836524963,967692.75,1318611840.0,0.8146311044692993,14936438.0,1.0,0.0,20175.31640625
5000,-280.6914978027344,-355.92938232421875,195.60772705078125,0.3401320278644562,992102.3125,1956822272.0,0.8151088953018188,69016680.0,1.0,0.0,20690.947265625
